date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:15	6185/6185	---M-Z	404	error ('Not%20Found')	text/html	etag:%224c99-5ec021f9bbb68;5ebff98c2ef43%22	https://www.wits.ac.za/robots.txt		(from )
15:18:16	35474/35474	---M-Z	200	added ('OK')	text/html	etag:%228483-5ed369e69528b%22	https://www.wits.ac.za/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/index.html	(from )
15:18:16	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2013%20Nov%202022%2009:49:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.googletagmanager.com/gtm.05445.delayed	(from https://www.wits.ac.za/)
15:18:16	32388/32388	---M-Z	200	added ('OK')	text/html	etag:%227875-5ed3350489296%22	https://www.wits.ac.za/covid19/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/covid19/index.html	(from https://www.wits.ac.za/)
15:18:17	416/416	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221a0-5bd6fd106d4e1%22	https://www.wits.ac.za/media/wits-university-style-assets/images/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/images/favicon.ico	(from https://www.wits.ac.za/)
15:18:17	231030/231030	---M-Z	200	added ('OK')	text/css	etag:%2238676-5e6821b0b6ed9%22	https://www.wits.ac.za/media/wits-university-style-assets/css/style-local.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/css/style-local.css	(from https://www.wits.ac.za/)
15:18:17	4797/4797	---M-Z	200	added ('OK')	text/css	etag:%2212bd-5bd6fd10a8bf1%22	https://www.wits.ac.za/media/wits-university-style-assets/css/slick.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/css/slick.css	(from https://www.wits.ac.za/)
15:18:18	5556/5556	---M-Z	200	added ('OK')	text/css	etag:%2215b4-5bd6fd10b0532%22	https://www.wits.ac.za/media/wits-university-style-assets/css/print.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/css/print.css	(from https://www.wits.ac.za/)
15:18:18	38079/38079	---M-Z	200	added ('OK')	text/css	etag:%2294bf-5e66b7cc4ac80%22	https://www.wits.ac.za/media/wits-university-style-assets/css/style-updates.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/css/style-updates.css	(from https://www.wits.ac.za/)
15:18:19	23739/23739	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.wits.ac.za/)
15:18:19	24251/24251	---M-Z	200	added ('OK')	text/css	etag:%225ebb-5e66d239eb6e4%22	https://www.wits.ac.za/media/wits-university-style-assets/css/redesign.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/css/redesign.css	(from https://www.wits.ac.za/)
15:18:20	11257/11257	---M-Z	200	added ('OK')	application/javascript	etag:%222bf9-5bd6fd10cb6da%22	https://www.wits.ac.za/media/wits-university-style-assets/javascript/modernizr.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/javascript/modernizr.js	(from https://www.wits.ac.za/)
15:18:21	80561/80561	---M--	200	added ('OK')	image/svg+xml	etag:%2213ab1-5c57fec51bd8e%22	https://www.wits.ac.za/media/wits-university-style-assets/images/Wits_Centenary_Logo_Large.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university-style-assets/images/Wits_Centenary_Logo_Large.svg	(from https://www.wits.ac.za/)
15:18:22	40547/40547	---M-Z	200	added ('OK')	text/html	etag:%229854-5ed335145fcd3%22	https://www.wits.ac.za/alumni/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/alumni/index.html	(from https://www.wits.ac.za/)
15:18:23	32737/32737	---M-Z	200	added ('OK')	text/html	etag:%2279d2-5ed2c8ccbcd14%22	https://www.wits.ac.za/news/latest-news/general-news/2022/2022-02/climate-change-and-me-marks-wits-largest-first-year-course-in-its-history.html	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/news/latest-news/general-news/2022/2022-02/climate-change-and-me-marks-wits-largest-first-year-course-in-its-history.html	(from https://www.wits.ac.za/)
15:18:23	31566/31566	---M-Z	200	added ('OK')	text/html	etag:%22753f-5ec022e26ee03%22	https://www.wits.ac.za/givingtowits/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/givingtowits/index.html	(from https://www.wits.ac.za/)
15:18:24	97215/97215	---M--	200	added ('OK')	image/jpeg	etag:%2217bbf-5e67145416b31%22	https://www.wits.ac.za/media/wits-university/news-and-events/images/news/2022-jan-april/Climate-Change--Me.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university/news-and-events/images/news/2022-jan-april/Climate-Change--Me.jpg	(from https://www.wits.ac.za/)
15:18:24	37052/37052	---M-Z	200	added ('OK')	text/html	etag:%228aad-5ec022d8d65b6%22	https://www.wits.ac.za/about-wits/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/about-wits/index.html	(from https://www.wits.ac.za/)
15:18:25	40913/40913	---M-Z	200	added ('OK')	text/html	etag:%2299c2-5ed07c1c7c160%22	https://www.wits.ac.za/library/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/library/index.html	(from https://www.wits.ac.za/)
15:18:25	35379/35379	---M-Z	200	added ('OK')	text/html	etag:%228424-5ed33479b20d4%22	https://www.wits.ac.za/news/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/news/index.html	(from https://www.wits.ac.za/)
15:18:26	893271/893271	---M--	200	added ('OK')	image/png	etag:%22da157-5eccab9dca097%22	https://www.wits.ac.za/media/wits-university/home-page/GOOD-LUCK-witsies_Exam-2022.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university/home-page/GOOD-LUCK-witsies_Exam-2022.png	(from https://www.wits.ac.za/)
15:18:26	80528/80528	---M--	200	added ('OK')	image/jpeg	etag:%2213a90-5ed2fe5f84667%22	https://www.wits.ac.za/media/wits-university/news-and-events/images/news/2022-sept-dec/Constructed%20Wetlands%20600x300%20(002).jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university/news-and-events/images/news/2022-sept-dec/Constructed%20Wetlands%20600x300%20(002).jpg	(from https://www.wits.ac.za/)
15:18:26	28692/28692	---M-Z	200	added ('OK')	text/html	etag:%226a05-5ec19fbf56777%22	https://www.wits.ac.za/study-at-wits/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/study-at-wits/index.html	(from https://www.wits.ac.za/)
15:18:27	30821/30821	---M-Z	200	added ('OK')	text/html	etag:%227256-5ed4e964913ee%22	https://www.wits.ac.za/staff/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/staff/index.html	(from https://www.wits.ac.za/)
15:18:27	38091/38091	---M-Z	200	added ('OK')	text/html	etag:%228ebc-5ec026f84fdc3%22	https://www.wits.ac.za/students/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/students/index.html	(from https://www.wits.ac.za/)
15:18:27	28703/28703	---M-Z	200	added ('OK')	text/html	etag:%226a10-5ed2c893b7e44%22	https://www.wits.ac.za/news/latest-news/research-news/2022/2022-09/how-we-treat-animals-is-key-to-human-health-just-look-at-covid-19.html	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/news/latest-news/research-news/2022/2022-09/how-we-treat-animals-is-key-to-human-health-just-look-at-covid-19.html	(from https://www.wits.ac.za/)
15:18:27	34394/34394	---M-Z	200	added ('OK')	text/html	etag:%22804b-5ed33690d0315%22	https://www.wits.ac.za/teaching-and-learning/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/teaching-and-learning/index.html	(from https://www.wits.ac.za/)
15:18:27	25572/25572	---M-Z	200	added ('OK')	text/html	etag:%225dd5-5ec025deef144%22	https://www.wits.ac.za/research/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/research/index.html	(from https://www.wits.ac.za/)
15:18:28	30478/30478	---M-Z	200	added ('OK')	text/html	etag:%2270ff-5ec027075d56e%22	https://www.wits.ac.za/ccdu/personal-counselling-/mental-health-topics/coping-with-exams/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/ccdu/personal-counselling-/mental-health-topics/coping-with-exams/index.html	(from https://www.wits.ac.za/)
15:18:28	58971/58971	---M--	200	added ('OK')	image/jpeg	etag:%22e65b-5e8288ae051ae%22	https://www.wits.ac.za/media/wits-university/news-and-events/images/generic/2022-jul-dec/Generic_Elephants_nature_climate_600x300px.jpg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day20/Web100/Site100/www.wits.ac.za/media/wits-university/news-and-events/images/generic/2022-jul-dec/Generic_Elephants_nature_climate_600x300px.jpg	(from https://www.wits.ac.za/)
